<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EESR,60,20070521,160000,34.57800,34.65000,34.37000,34.42000
EESR,60,20070521,170000,34.42100,34.51500,34.05000,34.20500
EESR,60,20070522,100000,34.38000,34.38000,34.09100,34.16200
EESR,60,20070522,110000,34.16900,34.25900,33.74100,33.90000
EESR,60,20070522,120000,33.90100,33.98000,33.77700,33.92400
EESR,60,20070522,130000,33.92000,33.97800,33.85000,33.91100
EESR,60,20070522,140000,33.91000,34.14900,33.90300,34.09000
EESR,60,20070522,150000,34.08000,34.33000,34.01000,34.26100
EESR,60,20070522,160000,34.27000,34.32500,34.06300,34.09800
EESR,60,20070522,170000,34.07700,34.11000,33.90300,33.96000
EESR,60,20070523,100000,33.85100,33.90000,33.57700,33.64000
EESR,60,20070523,110000,33.64000,33.82500,33.62500,33.77000
EESR,60,20070523,120000,33.76700,33.77700,33.27800,33.43000
EESR,60,20070523,130000,33.43000,33.47700,33.12000,33.18700
EESR,60,20070523,140000,33.18700,33.26000,32.95000,33.06100
EESR,60,20070523,150000,33.06700,33.29700,33.00000,33.28500
EESR,60,20070523,160000,33.26800,33.27800,32.90000,33.01000
EESR,60,20070523,170000,33.01000,33.07000,32.82200,32.84000
EESR,60,20070524,100000,32.69000,32.70000,30.77700,31.60000
EESR,60,20070524,110000,31.60000,31.96000,31.53000,31.56000
EESR,60,20070524,120000,31.56100,32.04000,31.47000,32.01200
EESR,60,20070524,130000,32.01900,32.19700,31.87200,32.00500
EESR,60,20070524,140000,32.02000,32.18800,31.76700,31.83700
EESR,60,20070524,150000,31.83600,31.96900,31.65000,31.81500
EESR,60,20070524,160000,31.82000,32.34300,31.75000,32.27800
EESR,60,20070524,170000,32.26000,32.44900,32.07400,32.17000
EESR,60,20070525,100000,31.52500,32.14000,31.52500,32.01000
EESR,60,20070525,110000,32.03000,32.20000,31.86000,32.07700
EESR,60,20070525,120000,32.07000,32.38800,32.04700,32.27000
EESR,60,20070525,130000,32.26900,32.27500,32.15100,32.21000
EESR,60,20070525,140000,32.21800,32.32000,32.08000,32.31900
EESR,60,20070525,150000,32.30700,32.82000,32.27300,32.77000
EESR,60,20070525,160000,32.78000,32.83900,32.50500,32.68000
EESR,60,20070525,170000,32.67900,32.74400,32.46000,32.60000
EESR,60,20070528,100000,32.99700,33.02700,32.68600,32.70000
EESR,60,20070528,110000,32.70000,32.75500,32.47300,32.55000
EESR,60,20070528,120000,32.54300,32.78000,32.27200,32.73000
EESR,60,20070528,130000,32.74600,32.74900,32.02500,32.02500
EESR,60,20070528,140000,32.02500,32.24300,31.40000,31.70100
EESR,60,20070528,150000,31.71700,32.17000,31.71000,32.13700
EESR,60,20070528,160000,32.13700,32.29000,31.91300,32.23700
EESR,60,20070528,170000,32.22900,32.39800,32.09000,32.21000
EESR,60,20070529,100000,32.20300,32.53800,32.02500,32.39700
EESR,60,20070529,110000,32.37500,32.72800,32.35000,32.69000
EESR,60,20070529,120000,32.69000,32.71500,32.33100,32.42000
EESR,60,20070529,130000,32.42000,32.42000,31.95000,32.07100
EESR,60,20070529,140000,32.08100,32.19500,31.81000,31.83000
EESR,60,20070529,150000,31.83000,31.93300,31.35100,31.62800
EESR,60,20070529,160000,31.62800,31.71500,31.25100,31.44000
EESR,60,20070529,170000,31.44000,31.44000,30.95000,31.20000
EESR,60,20070530,100000,30.47000,30.54600,30.12300,30.35800
EESR,60,20070530,110000,30.35800,30.78000,30.14400,30.74000
EESR,60,20070530,120000,30.73500,30.89000,30.51000,30.56900
EESR,60,20070530,130000,30.56100,30.87000,30.43100,30.76400
EESR,60,20070530,140000,30.76500,31.02500,30.65500,30.75200
EESR,60,20070530,150000,30.77200,30.88800,30.57700,30.85500
EESR,60,20070530,160000,30.85400,30.99000,30.73000,30.82100
EESR,60,20070530,170000,30.82600,30.84500,30.48600,30.60300
EESR,60,20070531,100000,31.19900,31.46100,31.10300,31.38800
EESR,60,20070531,110000,31.37900,31.56000,31.30200,31.36500
EESR,60,20070531,120000,31.36500,31.52000,31.31200,31.34000
EESR,60,20070531,130000,31.31700,31.62900,31.30300,31.57000
EESR,60,20070531,140000,31.56900,31.68000,31.53200,31.63000
EESR,60,20070531,150000,31.63000,31.92000,31.58000,31.80900
